age,education_num,hours_per_week,capital_gain,capital_loss,sex_male,is_married,income_above_50k
21,10,15,0,0,1,0,0
55,10,40,0,1902,1,1,1
61,13,40,0,0,1,1,0
47,13,50,0,0,1,1,1
31,6,35,0,0,1,1,0
26,10,40,0,0,1,0,0
63,14,40,0,0,1,0,1
41,10,50,0,0,1,0,0
39,12,50,0,0,0,1,1
39,13,35,0,0,1,0,0
57,9,25,0,0,1,1,1
25,10,50,0,0,1,1,0
25,9,40,0,0,0,0,0
38,9,50,7298,0,1,1,1
42,14,43,0,1902,1,1,1
60,13,48,8614,0,0,0,1
50,15,52,0,0,1,1,1
25,10,40,3103,0,0,1,1
20,9,40,0,0,0,0,0
32,9,40,0,0,1,0,0
51,14,50,0,1977,1,1,1
19,10,15,0,0,0,0,0
40,8,40,0,0,1,1,0
20,9,40,0,0,0,0,0
29,10,56,0,0,1,1,0
53,16,50,15024,0,1,1,1
38,9,50,0,0,1,0,0
38,14,60,7688,0,1,1,1
45,13,60,0,0,1,1,1
44,13,40,0,0,1,1,1
42,15,65,15024,0,1,1,1
41,9,60,13550,0,0,0,1
40,15,55,15024,0,1,1,1
46,14,38,0,0,1,1,1
58,7,20,0,0,1,1,0
41,14,55,0,0,1,1,1
38,9,40,0,0,1,1,0
55,10,40,0,0,0,0,0
43,10,40,0,0,0,1,0
69,13,45,6418,0,1,1,1
34,13,50,0,0,1,1,1
34,10,40,0,0,1,0,0
53,6,40,0,0,1,1,1
44,14,40,7298,0,1,1,1
33,5,70,0,0,1,0,0
48,16,50,0,1902,1,1,1
40,13,40,0,0,1,1,1
40,15,30,15024,0,0,1,1
44,14,45,15024,0,1,1,1
21,8,40,0,0,1,0,0
52,10,32,0,0,0,0,0
33,9,50,5178,0,1,1,1
22,10,40,0,0,1,0,0
48,13,40,0,0,1,1,1
39,15,70,0,0,1,0,1
28,9,37,0,0,0,1,0
29,9,48,0,0,1,1,0
39,13,32,5013,0,0,1,0
24,14,40,0,0,0,0,0
29,7,99,0,0,1,1,1
59,8,48,0,0,0,0,0
43,10,40,3103,0,1,1,1
43,9,40,0,0,0,0,0
45,9,40,0,0,0,0,0
27,4,30,0,0,0,0,0
45,9,19,0,0,0,0,0
44,12,40,4386,0,1,1,1
57,13,40,4508,0,1,1,0
52,13,30,99999,0,0,1,1
47,9,40,0,0,1,1,0
24,3,60,0,0,1,1,0
53,15,45,0,0,1,1,1
33,9,40,0,0,0,1,0
19,9,40,0,0,1,0,0
51,14,50,99999,0,0,1,1
37,14,45,0,0,1,0,1
43,4,40,0,0,1,0,0
46,14,45,0,1887,1,1,1
37,9,55,0,0,1,1,1
29,14,35,0,0,0,0,0
34,9,40,0,0,1,1,1
59,13,60,0,0,1,1,1
61,9,5,2414,0,0,1,0
48,10,65,0,0,1,1,0
27,10,15,0,0,0,0,0
24,9,60,0,0,1,1,0
18,7,8,0,0,1,0,0
43,13,43,0,0,0,0,1
51,10,45,0,0,1,1,1
23,9,40,0,0,1,0,0
29,9,40,0,0,0,0,0
32,6,55,0,0,1,1,0
29,14,55,0,0,1,0,1
31,13,65,0,0,0,0,1
33,11,40,0,0,1,1,0
32,9,40,0,0,1,1,0
34,12,60,0,0,0,0,1
56,10,40,0,0,1,1,0
23,12,20,0,0,0,0,0
30,7,40,0,0,1,1,0
56,10,40,0,0,1,1,1
49,13,35,7688,0,0,1,1
56,9,40,0,0,1,1,1
60,5,40,0,0,1,1,0
35,14,45,0,0,1,1,1
44,10,40,0,0,1,1,1
46,14,35,0,0,1,0,1
26,11,45,3103,0,1,1,1
45,13,42,0,0,0,1,1
47,10,40,0,0,1,0,1
63,13,40,0,1848,1,1,1
64,3,20,0,0,0,0,0
32,15,60,0,0,1,0,0
39,9,70,0,0,1,1,0
40,15,50,0,0,1,1,1
35,9,40,7298,0,1,1,1
61,10,25,0,0,1,0,0
56,10,50,0,0,1,1,1
68,9,40,0,0,1,1,1
40,10,50,0,0,1,1,0
38,9,40,0,0,1,1,0
42,9,48,0,0,1,1,0
61,4,44,3456,0,0,1,0
38,15,40,0,0,1,1,1
30,13,40,0,0,0,0,1
35,13,60,0,0,1,1,0
45,13,40,0,0,0,1,1
63,10,40,0,0,1,1,1
26,9,40,4416,0,1,0,0
35,13,45,0,1887,1,1,1
35,13,65,0,0,1,0,0
24,9,45,0,0,1,0,0
60,6,44,0,1977,1,1,1
59,13,50,0,0,1,1,1
40,13,40,0,0,1,1,1
39,9,55,0,0,0,0,0
51,10,40,0,0,0,0,0
27,9,40,0,0,1,1,0
20,9,20,0,0,0,0,0
36,12,40,0,0,0,0,0
19,10,18,0,0,1,0,0
25,9,84,7298,0,1,1,1
37,10,55,0,1980,1,0,0
44,9,40,3103,0,0,1,1
61,9,40,0,0,1,1,0
34,10,45,0,0,1,1,1
56,9,48,0,0,1,1,1
68,7,20,0,0,1,0,0
39,13,60,0,0,1,1,1
37,13,50,0,0,1,1,1
43,13,50,0,0,1,1,0
37,14,70,0,0,1,1,1
38,13,50,7298,0,1,1,1
44,12,30,0,0,1,1,0
43,13,40,0,0,1,1,1
41,9,40,0,0,1,1,1
46,13,40,0,0,1,1,1
23,10,20,0,0,0,0,0
35,13,50,0,0,1,1,1
29,10,45,0,0,1,1,0
53,9,40,0,0,1,1,1
63,16,50,0,1902,1,1,1
45,13,50,0,0,1,1,1
25,9,65,0,0,1,1,0
40,10,45,0,0,1,1,0
44,13,45,0,0,1,1,0
35,9,48,0,0,1,0,0
56,13,20,0,0,1,1,0
49,9,40,0,0,1,1,1
32,5,40,0,0,0,0,0
64,9,20,0,0,1,0,0
43,13,45,0,0,1,0,1
28,10,70,0,0,1,1,0
20,9,32,0,0,0,0,0
30,10,36,0,0,1,1,1
46,9,60,0,0,1,1,0
57,10,60,0,0,1,1,1
29,11,40,0,0,0,0,0
51,14,50,0,0,1,1,1
35,9,40,0,0,0,0,0
63,9,32,0,0,1,1,0
37,13,50,0,0,1,1,1
58,14,18,0,0,1,0,0
22,8,40,0,0,1,0,0
48,9,60,0,0,1,0,1
35,14,48,0,1977,1,1,1
60,4,40,0,0,1,0,0
24,13,40,0,0,0,0,0
17,6,12,0,0,0,0,0
65,6,20,0,0,0,0,0
36,13,40,0,0,1,1,1
48,13,50,0,0,0,1,1
49,14,35,0,0,0,0,0
61,11,40,0,0,1,1,1
57,14,40,0,0,1,1,1
56,13,20,0,0,1,1,1
26,3,40,0,0,1,1,0
55,10,40,0,0,1,1,1
43,13,60,0,0,1,1,1
23,10,25,0,0,0,0,0
23,10,30,0,0,1,0,0
44,10,60,0,0,1,1,1
38,14,40,0,0,1,1,1
43,13,40,7688,0,1,1,1
48,13,38,0,0,1,1,1
38,6,40,0,0,1,1,1
38,9,40,0,0,1,1,0
46,10,40,0,1740,1,1,0
63,5,40,0,0,1,1,0
30,11,16,7298,0,0,1,1
49,9,40,0,0,1,1,0
51,9,99,0,0,1,1,1
38,13,45,0,0,1,0,1
62,13,40,0,0,1,1,1
53,9,28,0,0,0,1,1
39,14,40,0,0,1,0,0
43,10,40,0,0,1,1,0
53,10,50,8614,0,1,0,1
67,13,40,0,2392,1,0,1
45,7,40,0,0,1,1,0
53,13,55,0,0,1,1,1
32,13,60,7688,0,1,1,1
48,13,55,0,0,0,0,1
70,9,33,3471,0,1,1,0
30,13,40,0,0,1,0,0
32,9,40,0,0,1,0,0
39,13,50,3103,0,1,1,1
39,9,40,0,0,1,1,1
24,12,37,0,0,0,0,0
35,10,40,0,0,1,1,1
41,2,35,0,0,1,1,0
61,10,40,0,0,1,1,1
77,9,40,0,0,0,0,0
25,10,80,0,0,1,0,0
43,14,40,0,0,1,0,0
56,13,45,0,0,1,0,1
44,14,24,0,0,1,0,0
40,13,75,99999,0,1,1,1
51,10,40,0,0,0,0,0
45,9,52,0,0,1,1,1
45,13,55,0,0,1,0,1
32,9,40,0,0,1,0,0
34,9,75,0,0,1,1,1
46,16,50,0,1564,0,0,1
38,10,46,0,0,1,0,0
46,9,40,0,0,1,1,1
36,14,50,13550,0,1,0,1
33,9,40,0,0,1,0,0
51,10,40,7298,0,1,1,1
28,13,50,0,1974,1,0,0
29,12,36,0,0,0,0,0
33,13,55,0,0,0,0,1
34,13,45,0,0,1,0,0
48,13,40,7688,0,1,1,1
26,13,40,0,0,0,0,0
59,10,40,0,0,1,0,0
35,12,40,0,0,1,1,1
64,13,40,0,0,1,1,1
22,9,45,0,0,0,0,0
21,10,35,0,0,0,0,0
47,13,40,0,0,1,0,1
56,7,40,0,0,0,0,0
47,11,50,15024,0,1,1,1
